عاطفه	affect
ریزش لکه‌ای موی	alopecia areata
جوف تنباکو (سناف‌باکس اناتومیک)	anatomical snuffbox
لنگر انداختن (خطای شناختی)	anchoring bias
پندیدگی زیر جلد	angioedema
لرزش بال‌زدنی (استریکسیس)	asterixis
شلی رحم (اتونی رحم)	uterine atony
فبریلیشن اذینی	atrial fibrillation
دسترس‌پذیری (خطای شناختی)	availability bias
محور قلب	cardiac axis
دنباله بغلی ثدیه	axillary tail
سرطان حجرات قاعده‌ای	basal cell carcinoma
کوری نیمه خارجی هر دو چشم (همی‌انوپیای بای‌تمپورال)	bitemporal hemianopia
سرچرخی وضعیتی حمله‌ای خوش‌خیم	BPPV
کندی حرکت	bradykinesia
صدای جریان (بروئی)	bruit
آبله بزرگ (بولا)	bulla
سندرم ذنب اسپ (کودا اکواینا)	cauda equina syndrome
تب کریمه‌کانگو	Crimean-Congo haemorrhagic fever
حساسیت حرکت عنق رحم	cervical motion tenderness
فرورفتن پایین قفسه صدری	chest indrawing
چوب طبل شدن انگشتان	clubbing
کرپیتیشن درشت	coarse crackles
کرپیتیشن نرم	fine crackles
درد قولنجی	colicky pain
کلپس شش	lung collapse
ارزیابی جامع سالمندی	comprehensive geriatric assessment
التهاب ملتحمه	conjunctivitis
تکاثف (کانسولیدیشن)	consolidation
زمان پُر شدن مویرگی	capillary refill time
دلیریم	delirium
هذیان	delusion
دیمنشیا	dementia
شتاب تشخیص	diagnosis momentum
کیتواسیدوز دیابتی	diabetic ketoacidosis
کیست هایداتید	hydatid cyst; echinococcosis
انصباب پلورا	pleural effusion
بربخ (اپیدیدیمس)	epididymis
شرسوف	epigastrium
برآمدگی چشم	exophthalmos
لرزش‌های کوچک عضله (فاسیکولیشن)	fasciculations
برچسپ زدن مریض	framing
التهاب شریان صدغی	giant cell arteritis
ناله در بازدم	grunting
زونا	herpes zoster
حالت هایپراسمولار	hyperosmolar hyperglycaemic state
توهم	hallucination
مول حاملگی	hydatidiform mole
پُرطنین	hyperresonant
پرکاری تایراید	hyperthyroidism
کم‌کاری تایراید	hypothyroidism
کمی قند	hypoglycaemia
کاهش تون	hypotonia
مراقبت یکپارچه امراض اطفال	IMCI
تنگه تایراید (ایستموس تایراید)	thyroid isthmus
ناخن قاشقی	koilonychia
عقب ماندن پلک	lid lag
نسبت احتمال	likelihood ratio
دامنه جگر	liver span
نیورون حرکی پایینی	lower motor neuron
نیورون حرکی بالایی	upper motor neuron
لکه (ماکول)	macule
سل ارزنی	miliary tuberculosis
مزاج	mood
دور وسط بازو	MUAC
فاشئیت نکروزدهنده	necrotising fasciitis
ادرار شبانه	nocturia
گره (نودول)	nodule
لرزش چشم (نیستاگموس)	nystagmus
جهت‌یابی	orientation
پاکت‌سال	pack-years
پندیدگی دیسک بصری (پاپیل‌اذیما)	papilloedema
دانه (پاپول)	papule
جلد پوست مالته	peau d'orange
حساسیت به روشنی	photophobia
التهاب لگن	pelvic inflammatory disease
جدا شدن جفت	placental abruption
احتکاک پلورا	pleural rub
ختم زودهنگام	premature closure
احتمال پیش از آزمون	pretest probability
افتادگی رحم	uterine prolapse
حس وضعیت	proprioception
نقصان نبض	pulse deficit
چرک‌دانه (پوستول)	pustule
ابسه دور لوزه	quinsy; peritonsillar abscess
نقص مردمک وابسته	relative afferent pupillary defect
حساسیت برگشتی (حساسیت ریباوند)	rebound tenderness
تغییرات متقابل	reciprocal changes
حفره حرقفی راست	right iliac fossa
وترهای کلاهک چرخاننده (روتیتور کف)	rotator cuff
گال	scabies
سرطان حجرات سنگفرشی	squamous cell carcinoma
نشانه سایه (نشانه سیلوئت)	silhouette sign
حالت صرعی	status epilepticus
تنفس صدادار (استریدور)	stridor
خونریزی‌های خطی ناخن	splinter haemorrhages
طوفان تایراید	thyroid storm
داد سر	tinea capitis
صدای گوش (تنیتوس)	tinnitus
زبان‌گیر	tongue depressor
تورساد	torsades de pointes
مجرای منوی	vas deferens
آبله کوچک (وزیکول)	vesicle
دفاع ارادی (گاردینگ ارادی)	voluntary guarding
فرج	vulva
کهیر (ویل)	wheal; urticaria
خس‌خس	wheeze
سینه‌بغل	pneumonia
ضد تخثر	anticoagulant
آسیب حاد کلیه	acute kidney injury
فاصله انیونی	anion gap
تکی‌کاردی بطینی	ventricular tachycardia
بلاک شاخه	bundle branch block
بلاک کامل قلب	complete heart block
انشقاق ابهر	aortic dissection
امبولی ریوی	pulmonary embolism
پنوموتوراکس فشاری	tension pneumothorax
کالیبراسیون	calibration
کم‌خونی	anaemia
صفت تالاسیمی	thalassaemia trait
صفحات دموی	platelets
کرویات سرخ	red blood cells
کرویات سفید	white blood cells
هیپاتیت ناشی از دوا	drug-induced liver injury
نمره هشداردهنده	early warning score
فرتوتی (فریلتی)	frailty
افت فشار ایستاده	orthostatic hypotension
شاخص شاک	shock index
یرقان؛ زردی	jaundice
اذیما؛ پندیدگی	oedema
سرچرخی	dizziness; vertigo
بیهوشی گذرا	syncope
قصبه‌الریه	trachea
قولنج کلیوی	renal colic
